(대출기간: 2024.08.01. ~ 2025.07.30.),,,,,,,
125.0,QC0000045056,"(곤충보다 작아진) 정브르, 생물 학습 만화. 3",정브르 원작 ; 강민희 글 ; 강신영 그림,겜툰,아495.2-정47ㅈ-3,30.0,
126.0,QC0000045055,(정브르의) 아마존일기 : 생생체험 자연관찰,정브르 지음,서울문화사,아472-정47ㅇ,30.0,
127.0,QC0000044969,쿠키런 놀이왕 과학 상식,조주희 글 ; 이태영 그림,서울문화사,아만404-쿠878ㅅ-17,30.0,
128.0,QC0000044609,흔한남매. 13,흔한남매 원작 ; 백난도 글 ; 유난희 그림,아이세움,아만657.1-흔92ㅎ-13,30.0,
129.0,QC0000044196,테마파크에서 살아남기,포도알친구 글 ; 한현동 그림,아이세움,아만408-서42ㅇ-75,30.0,
130.0,QC0000044139,흔한남매. 12,흔한남매 원작 ; 백난도 글 ; 유난희 그림,아이세움,아만 657.1-흔92ㅎ-12,30.0,
131.0,QC0000044065,하하 자매 떡집,김리리 글 ; 김이랑 그림,비룡소,아808.9-난82ㅂ-3-77,30.0,
132.0,QC0000044032,"(신비아파트) 한자 귀신. 6, 명령의 힘",김강현 글 ; 김기수 그림,서울문화사,아만711.4-김12ㅎ-6-2,30.0,
133.0,QC0000043788,"그리스 로마 신화 : 만화로 읽는 초등 인문학. 32, 운명을 바꾼 야누스의 문",박시연 글 ; 최우빈 그림,아울북,아만219-박58ㄱ-32,30.0,
134.0,QC0000043445,"(손오공의 한자 대탐험) 마법천자문. 55, 분명하게 정해라! 결정(決定)","유대영 글 ; 박상영, 정수영 [공]그림",아울북,아만711.47-마44ㅇ-55,30.0,
135.0,QC0000043236,"(최고다!) 과학 호기심 딱지. 5, 신통방통 종합 병원",방콕고양이 글 ; 윤현우 그림,EBS Books,아만408-과92아-5,30.0,
136.0,QC0000042969,"내일은 실험왕 : 본격 대결 과학실험 만화 시즌 2. 4, 빅데이터와 전염병",스토리 a. 글 ; 홍종현 그림,아이세움,아만407-내68ㅇ-2-4,30.0,
137.0,QC0000042314,(자연 생물 관찰 만화) 에그박사. 4,에그박사 원작 ; 박송이 글,아이세움,아만 472-에17ㅇ-4=2,30.0,
138.0,QC0000041835,"쿠키런 서바이벌 대작전 : 안전상식 학습만화. 10, 운석 편",김강현 글 ; 김기수 그림,서울문화사,아만372.42-김12ㅋ-10-2,30.0,
139.0,QC0000040933,"비밀요원 레너드. 12, 콩콩 뛰는 강시가 나타났다!",박설연 글 ; 김덕영 그림,아울북,아813.8-박54ㅂ-12,30.0,
140.0,QC0000040928,"비밀요원 레너드. 6, 구미호가 나타났다!",박설연 글 ; 김덕영 그림,아울북,아813.8-박54ㅂ-6,30.0,
141.0,QC0000040926,"비밀요원 레너드. 4, 파라오의 저주는 사실일까?",박설연 글 ; 김덕영 그림,아울북,아813.8-박54ㅂ-4,30.0,
142.0,QC0000040873,"(백종원의) 도전 요리왕 : 음식으로 맛보는 세계 역사 문화 체험. 7, 대한민국 2","백종원, 남지은 [공]글 ; 이정태 그림",위즈덤하우스,아만594-백75ㄷ-7,30.0,
143.0,QC0000040784,"그리스 로마 신화 : 만화로 읽는 초등 인문학. 29, 오디세우스의 험난한 모험",박시연 글 ; 최우빈 그림,아울북,아만219-박58ㄱ-29,30.0,
144.0,QC0000040754,(자연 생물 관찰 만화) 에그박사. 7,에그박사 원작 ; 박송이 글,아이세움,아만 472-에17ㅇ-7,30.0,
145.0,QC0000040495,"Go Go 카카오프렌즈 : 세계 역사 문화 체험 학습만화. 24, 스웨덴",김미영 글 ; 김정한 그림,아울북,아만909-김38ㄱ-24,30.0,
146.0,QC0000040489,"내일은 실험왕 : 본격 대결 과학실험 만화. 49, 진화의 대결",스토리 a. 글 ; 홍종현 그림,아이세움,아만407-내68ㅇ-49,30.0,
147.0,QC0000039968,(흔한남매) 불꽃 튀는 우리말 : 초등 국어 고수 되기 프로젝트. 2,흔한남매 원작 ; 한은호 글 ; 유희석 그림,다산어린이,아만 710-흔92ㅂ-2,30.0,
148.0,QC0000039853,의사 어벤저스:어린이 의학 동화,고희정 글;조승연 그림,가나:가나문화콘텐츠,아510.4-고97ㅇ-5,30.0,
149.0,QC0000039787,"(흔한남매) 과학 탐험대. 2, 지구와 달","흔한남매 원작;이재국,이현진 [공]글;김덕영 그림",주니어김영사:김영사,아만404-흔92ㄱ-2,30.0,
150.0,QC0000039614,(흔한남매) 겨울밤 대소동,흔한남매 원작 ; 한바리 글 ; 유난희 그림,아이세움,아만 813.8-흔92ㄱ,30.0,
151.0,QC0000036071,(코믹 메이플스토리) 수학도둑 : 종합편. 77,송도수 글 ; 서정 엔터테인먼트 그림,서울문화사,아만410-수92ㅅ-77,30.0,
152.0,QC0000036041,(코믹 메이플스토리) 수학도둑 : 창의편. 47,송도수 글 ; 서정 엔터테인먼트 그림,서울문화사,아만410-수92ㅅ-47-2,30.0,
153.0,QC0000036037,(코믹 메이플스토리) 수학도둑 : 심화편. 43,송도수 글 ; 서정 엔터테인먼트 그림,서울문화사,아만410-수92ㅅ2-43,30.0,
154.0,QC0000036028,(코믹 메이플스토리) 수학도둑 : 심화편. 34,송도수 글 ; 서정 엔터테인먼트 그림,서울문화사,아만410-수92ㅅ2-34,30.0,
155.0,QC0000035999,(코믹 메이플스토리) 수학도둑 : 기본편. 5,송도수 글 ; 서정은 그림,서울문화사,아만410-수92ㅅ3-5,30.0,
156.0,QC0000035984,"쿠키런 서바이벌 대작전 : 안전상식 학습만화. 28, 최후의 생존자 편",김강현 글 ; 김기수 그림,서울문화사,아만372.42-김12ㅋ-28,30.0,
157.0,QC0000035980,"쿠키런 서바이벌 대작전 : 안전상식 학습만화. 24, 쿠키볼의 비밀 편",김강현 글 ; 김기수 그림,서울문화사,아만372.42-김12ㅋ-24-2,30.0,
158.0,QC0000035963,"쿠키런 서바이벌 대작전 : 안전상식 학습만화. 7, 빙하 편",김강현 글 ; 김기수 그림,서울문화사,아만372.42-김12ㅋ-7-2,30.0,
159.0,QC0000035961,"쿠키런 서바이벌 대작전 : 안전상식 학습만화. 5, 화재 편",김강현 글 ; 김기수 그림,서울문화사,아만372.42-김12ㅋ-5-2,30.0,
160.0,QC0000035929,쿠키런 신통방통 과학 상식,조주희 글 ; 이태영 그림,서울문화사,아만404-쿠878ㅅ-8-2,30.0,
161.0,QC0000035906,"쿠키런 어드벤처 : 쿠키들의 신나는 세계여행. 32, 교토 - 일본",송도수 글 ; 서정은 그림,서울문화사,아만980.24-송25ㅋ-32-2,30.0,
162.0,QC0000035842,"놓지 마 과학!. 5, 정신이 태양계에 정신 놓다","신태훈, 나승훈 [공]글·그림",위즈덤하우스,아만400-신883ㄴ2-5,30.0,
163.0,QC0000035536,"그리스 로마 신화 : 만화로 읽는 초등 인문학. 6, 제우스의 심판",박시연 글 ; 최우빈 그림,아울북,아만219-박58ㄱ-6,30.0,
164.0,QC0000035000,"브레드 이발소. 5, 기묘한 베이커리타운",몬스터 스튜디오 원작·그림,한솔수북,아813.8-몬57ㅂ-5,30.0,
165.0,QC0000033279,구해줘 카카오프렌즈 경제. 2,한유진 글 ; 유희석 그림 ; 강민희 스토리,메가스터디Books,아만320-한66ㄱ-2,30.0,
166.0,QC0000032995,산불에서 살아남기. 1,포도알친구 글 ; 한현동 그림,아이세움,아만408-서42ㅇ-71,30.0,
167.0,QC0000030394,흔한남매. 4,흔한남매 원작 ; 백난도 글 ; 유난희 그림,아이세움,아만657.1-흔92ㅎ-4,30.0,
168.0,QC0000029780,"(백종원의) 도전 요리왕 : 음식으로 맛보는 세계 역사 문화 체험. 5, 태국","백종원, 남지은 [공]글 ; 이정태 그림",위즈덤하우스,아만594-백75ㄷ-5,30.0,
169.0,QC0000029779,흔한남매. 5,흔한남매 원작 ; 백난도 글 ; 유난희 그림,아이세움,아만 657.1-흔92ㅎ-5,30.0,
170.0,QC0000028056,흔한남매. 2,흔한남매 원작 ; 백난도 글 ; 유난희 그림,아이세움,아만657.1-흔92ㅎ-2,30.0,
171.0,QC0000027928,"그리스 로마 신화 : 만화로 읽는 초등 인문학. 12, 에로스와 프시케의 진정한 사랑",박시연 글 ; 최우빈 그림,아울북,아만219-박58ㄱ-12,30.0,
172.0,QC0000026651,"(카카오프렌즈) 과학탐정단. 1, 로봇",김승현 글 ; 최우빈 그림,대원키즈,아만400-김57ㄱ-1,30.0,
173.0,QC0000012319,에너지 위기에서 살아남기. 1,김정욱 글 ; 한현동 그림,아이세움(미래엔),아만408-서42ㅇ-39,30.0,
174.0,QA0000071410,뽀짜툰. 2,채유리 글·그림,북폴리오,657.3-채66ㅃ-2,29.0,
175.0,QV0000006838,(엉뚱발랄) 콩순이 : 장난감나라 대모험,이선명 감독,아이브엔터테인먼트 [제작],영화 688.6-이54ㅋ,29.0,
176.0,QC0000047572,쿠키런 만능 로봇 과학 상식,임우영 글 ; 이태영 그림,서울문화사,아만404-쿠878ㅅ-21,29.0,
177.0,QC0000047519,"생일엔 마라탕. 2, 소원을 들어주는 마라탕",류미정 글 ; 손수정 그림,밝은미래,아813.8-류38ㅅ-2,29.0,
178.0,QC0000047453,벚꽃 수영장,신현경 글 ; 노예지 그림,북스그라운드:인플루엔셜,아 813.8-신94ㅂ-3,29.0,
179.0,QC0000047112,(타키 포오)얼렁뚱땅 상식스쿨 : 초등 상식 학습 스토리북. 2,캐릭온TV 원작 ; 김언정 글 ; 조수현 그림,대원키즈,아031-캐298ㅇ-2,29.0,
180.0,QC0000047041,"비밀요원 레너드 과학X파일 : 동물. 2, 멸종 위기 동물 실종 사건",김정욱 글 ; 유희석 그림,아울북,아408-김74ㅂ-2,29.0,
181.0,QC0000047013,"(설민석의)그리스 로마 신화 대모험. 6, 가정의 여신 헤라","설민석, 남이담 [공]글 ; 이미나 만화",단꿈아이,아만219.2-설38ㄱ-6,29.0,
182.0,QC0000047008,"(설민석의)그리스 로마 신화 대모험. 5, 불을 훔친 프로메테우스","설민석, 남이담 [공]글 ; 이미나 만화",단꿈아이,아만219.2-설38ㄱ-5,29.0,
183.0,QC0000046905,"(비밀요원 레너드) 우리말 사무소. 1, 맞춤법·속담·관용어·고사성어",이향안 글 ; 라임스튜디오 그림,아울북,아710-이93ㅇ-1,29.0,
184.0,QC0000046868,(코믹 메이플스토리) 수학도둑 : 응용편. 100,송도수 글 ; 서정 엔터테인먼트 그림,서울문화사,아만410-수92ㅅ-100,29.0,
185.0,QC0000046739,(코믹 메이플스토리) 수학도둑 : 응용편. 83,송도수 글 ; 서정 엔터테인먼트 그림,서울문화사,아만410-수92ㅅ-83,29.0,
186.0,QC0000046583,(코믹 메이플스토리) 수학도둑 : 창의편. 49,송도수 글 ; 서정 엔터테인먼트 그림,서울문화사,아만410-수92ㅅ-49,29.0,
187.0,QC0000046561,냥 작가의 동시 상담소,즐비 글 ; 김준식 그림,파란정원,아082-병62ㅍ-21,29.0,
188.0,QC0000046467,여기는 루퐁이네. [2] : 귀염뽀짝 탐구 생활,루퐁이 지음,서울문화사,아818-루895ㅇ-2,29.0,
189.0,QC0000046252,위기 탈출 도감,스즈키 노리타케 글·그림 ; 권남희 옮김,이아소,아833.8-스77ㅇ,29.0,
190.0,QC0000045903,고 녀석 맛있겠다,미야니시 타츠야 글·그림 ; 백승인 옮김,달리,유 833.8-미63ㄷ-1-3,29.0,
191.0,QC0000045876,한밤중 달빛 식당,이분희 글 ; 윤태규 그림,비룡소,아 808.9-난82ㅂ-2-65-3,29.0,
192.0,QC0000045867,(읽으면서 바로 써먹는) 어린이 수수께끼,한날 글·그림,파란정원,아 082-맛68ㅍ-31-2,29.0,
193.0,QC0000045848,강남 사장님 : 이지음 장편동화,이지음 지음 ; 국민지 그림,비룡소,아 808.9-일15ㅂ-32-2,29.0,
194.0,QC0000045524,"라바 지구 수비대. 5, 멸종 위기 동식물","김정욱 글 ; 김정한, 장호찬 [공]그림",다산어린이,아539.9-라42ㄷ-5,29.0,
195.0,QC0000045332,"(흔한남매) 이상한 나라의 고전 읽기. 4, 구운몽·금방울전·김원전",흔한남매 원작 ; 최재훈 글 ; 정주연 그림,아이세움,아만813.5-흔92ㅇ-4,29.0,
196.0,QC0000045245,"(흔한남매) 과학 탐험대. 8, 생물 2","흔한남매 원작 ; 김언정, 이현진 [공]글 ; 김덕영 그림",주니어김영사,아만404-흔92ㄱ-8,29.0,
197.0,QC0000044904,"쿠키런 어드벤처 : 쿠키들의 세계 역사 탐험 : 이상한 나라에서 온 고양이. 52, 파라오의 저주",송도수 글 ; 서정은 그림,서울문화사,아만980.24-송25ㅋ-52,29.0,
198.0,QC0000044211,"(최고다!) 과학 호기심 딱지. 4, 두근두근 캠핑 여행",방콕고양이 글 ; 윤현우 그림,EBS Books,아만 408-과92아-4,29.0,
199.0,QC0000044020,(코믹 메이플스토리) 수학도둑 : 응용편. 93,송도수 글 ; 서정 엔터테인먼트 그림,서울문화사,아만410-수92ㅅ-93,29.0,
200.0,QC0000044012,"(손오공의 한자 대탐험) 마법천자문. 56, 보통과 아주 다르다! 특별(特別)",유대영 글 ; 정수영 그림,아울북,아만711.47-마44ㅇ-56,29.0,
201.0,QC0000043871,(코믹 메이플스토리) 수학도둑 : 심화편. 32,송도수 글 ; 서정 엔터테인먼트 그림,서울문화사,아만410-수92ㅅ2-32,29.0,
202.0,QC0000043822,(흔한남매의) 흔한 호기심 : 일상에서 만나는 과학 상식. 9,흔한남매 원작 ; 안치현 글 ; 유난희 그림,아이세움,아만408-흔92ㅎ-9,29.0,
203.0,QC0000043477,"똥볶이 할멈. 4, 모습은 달라도 우리는 친구야!",강효미 글 ; 김무연 그림,슈크림북,아813.8-강95ㄸ-4,29.0,
204.0,QC0000043307,(자연 생물 관찰 만화) 에그박사. 8,에그박사 원작 ; 박송이 글 ; 홍종현 그림,아이세움,아만472-에17ㅇ-8,29.0,
205.0,QC0000043154,"토깽이네 지구 구출 대작전. 1, 사라져 가는 숲을 구하라",토깽이네 원작 ; 잼스토리 글 ; 양선모 그림,위즈덤하우스,아539-토13ㅌ-1-2,29.0,
206.0,QC0000043089,"(곤충보다 작아진) 정브르, 생물 학습 만화. 2",정브르 원작 ; 강민희 글 ; 강신영 그림,겜툰,아495.2-정47ㅈ-2,29.0,
207.0,QC0000042172,오늘의 영상툰 : 두근두근 알쏭달쏭 심쿵 비밀 이야기. 4,오늘의 영상툰 원작,서울문화사,아만813.8-오197ㅇ-4,29.0,
208.0,QC0000040970,"Go Go 카카오프렌즈 : 세계 역사 문화 체험 학습만화. 25, 네덜란드",김미영 글 ; 김정한 그림,아울북,아만909-김38ㄱ-25,29.0,
209.0,QC0000040929,"비밀요원 레너드. 7, 인어의 비밀을 찾아라!",박설연 글 ; 김덕영 그림,아울북,아813.8-박54ㅂ-7,29.0,
210.0,QC0000040927,"비밀요원 레너드. 5, 핼러윈 유령을 찾아라!",박설연 글 ; 김덕영 그림,아울북,아813.8-박54ㅂ-5,29.0,
211.0,QC0000040923,"비밀요원 레너드. 1, 옷장 속 괴물 부기맨이 나타났다!",박설연 글 ; 김덕영 그림,아울북,아813.8-박54ㅂ-1,29.0,
212.0,QC0000040846,"브레드 이발소. 7, 베이커리타운 테일즈",몬스터 스튜디오 원작·그림,한솔수북,아813.8-몬57ㅂ-7,29.0,
213.0,QC0000040744,"쿠키런 서바이벌 대작전 : 안전상식 학습만화. 42, 쿠키들의 흔적 편",김강현 글 ; 김기수 그림,서울문화사,아만372.42-김12ㅋ-42,29.0,
214.0,QC0000040742,"(손오공의 한자 대탐험) 마법천자문. 53, 결정을 내려라! 결단할 결(決)",유대영 글 ; 홍거북 그림,아울북,아만711.47-마44ㅇ-53,29.0,
215.0,QC0000040511,"(극장판) 포켓몬스터 정글의 아이, 코코",[학산문화사 편집부 편],학산문화사,아833.8-학52ㅍ,29.0,
216.0,QC0000040186,흔한남매. 9,흔한남매 원작 ; 백난도 글 ; 유난희 그림,아이세움,아만 657.1-흔92ㅎ-9,29.0,
217.0,QC0000040180,"그리스 로마 신화 : 만화로 읽는 초등 인문학. 7, 새로운 인간의 시대",박시연 글 ; 최우빈 그림,아울북,아만219-박58ㄱ-7,29.0,
218.0,QC0000040179,"그리스 로마 신화 : 만화로 읽는 초등 인문학. 5, 인간들의 왕, 프로메테우스",박시연 글 ; 최우빈 그림,아울북,아만219-박58ㄱ-5,29.0,
219.0,QC0000040055,"쿠키런 서바이벌 대작전 : 안전상식 학습만화. 40, 해저도시 슈가티어 편",김강현 글 ; 김기수 그림,서울문화사,아만372.42-김12ㅋ-40,29.0,
220.0,QC0000040054,"쿠키런 서바이벌 대작전 : 안전상식 학습만화. 39, 숨 막히는 추격 편",김강현 글 ; 김기수 그림,서울문화사,아만372.42-김12ㅋ-39,29.0,
221.0,QC0000040030,기생충 세계에서 살아남기. 1,곰돌이 co. 글 ; 한현동 그림,아이세움,아만408-서42ㅇ-58-2,29.0,
222.0,QC0000040004,(자연 생물 관찰 만화) 에그박사. 6,에그박사 원작;박송이 글,아이세움:미래엔,아만 472-에17ㅇ-6,29.0,
223.0,QC0000039970,(흔한남매) 불꽃 튀는 우리말 : 초등 국어 고수 되기 프로젝트. 4,흔한남매 원작 ; 한은호 글 ; 유희석 그림,다산어린이,아만710-흔92ㅂ-4,29.0,
224.0,QC0000039966,"Go Go 카카오프렌즈 : 세계 역사 문화 체험 학습만화. 23, 싱가포르",김미영 글 ; 김정한 그림,아울북,아만909-김38ㄱ-23-2,29.0,
225.0,QC0000039908,"Go Go 카카오프렌즈 : 세계 역사 문화 체험 학습만화. 23, 싱가포르",김미영 글 ; 김정한 그림,아울북,아만909-김38ㄱ-23,29.0,
226.0,QC0000039901,"밥스 패밀리. 2, 황금 단무지를 찾아라",이연지 글 ; 이정화 그림,겜툰,아813.8-이64ㅂ-2,29.0,
227.0,QC0000036145,"(손오공의 한자 대탐험) 마법천자문. 50, 착해져라! 착할 선(善)",유대영 글 ; 홍거북 그림,아울북,아만711.47-마44ㅇ-50,29.0,
228.0,QC0000036140,"(손오공의 한자 대탐험) 마법천자문. 45, 마구마구 탐해라! 욕심 욕(慾)",김현수 글 ; 홍거북 그림,아울북,아만711.47-마44ㅇ-45-2,29.0,
229.0,QC0000036130,"(손오공의 한자 대탐험) 마법천자문. 35, 도와라! 도울 보(補)",올댓스토리 글 ; 김성재 윤색 ; 홍거북 그림,아울북,아만711.47-마44ㅇ2-35,29.0,
230.0,QC0000036002,(코믹 메이플스토리) 수학도둑 : 기본편. 8,송도수 글 ; 서정은 그림,서울문화사,아만410-수92ㅅ3-8,29.0,
231.0,QC0000035992,"쿠키런 서바이벌 대작전 : 안전상식 학습만화. 36, 시간여행자의 등장 편",김강현 글 ; 김기수 그림,서울문화사,아만372.42-김12ㅋ-36,29.0,
232.0,QC0000035985,"쿠키런 서바이벌 대작전 : 안전상식 학습만화. 29, 정령의 경고 편",김강현 글 ; 김기수 그림,서울문화사,아만372.42-김12ㅋ-29,29.0,
233.0,QC0000035973,"쿠키런 서바이벌 대작전 : 안전상식 학습만화. 17, 재난·재해 편",김강현 글 ; 김기수 그림,서울문화사,아만372.42-김12ㅋ-17-2,29.0,
234.0,QC0000035948,쿠키런 호기심 과학 상식,임우영 글 ; 이태영 그림,서울문화사,아만404-쿠878ㅅ-27,29.0,
235.0,QC0000035937,쿠키런 학교왕 과학 상식,조주희 글 ; 이태영 그림,서울문화사,아만404-쿠878ㅅ-16-2,29.0,
236.0,QC0000035935,쿠키런 엽기 과학 상식,조주희 글 ; 이태영 그림,서울문화사,아만404-쿠878ㅅ-14-2,29.0,
237.0,QC0000035924,쿠키런 엉뚱 과학 상식,조주희 글 ; 이태영 그림,서울문화사,아만404-쿠878ㅅ-3-2,29.0,
238.0,QC0000035923,쿠키런 불가사의 과학 상식,조주희 글 ; 이태영 그림,서울문화사,아만404-쿠878ㅅ-2,29.0,
239.0,QC0000035900,"쿠키런 어드벤처 : 쿠키들의 신나는 세계여행. 26, 리스본 - 포르투갈",송도수 글 ; 서정은 그림,서울문화사,아만980.24-송25ㅋ-26-2,29.0,
240.0,QC0000035893,"쿠키런 어드벤처 : 쿠키들의 신나는 세계여행. 19, 카이로 - 이집트",송도수 글 ; 서정은 그림,서울문화사,아만980.24-송25ㅋ-19-2,29.0,
241.0,QC0000035892,"쿠키런 어드벤처 : 쿠키들의 신나는 세계여행. 18, 리우데자네이루 - 브라질",송도수 글 ; 서정은 그림,서울문화사,아만980.24-송25ㅋ-18-2,29.0,
242.0,QC0000035876,"쿠키런 어드벤처 : 쿠키들의 신나는 세계여행. 2, 베이징",송도수 글 ; 서정은 그림,서울문화사,아만980.24-송25ㅋ-2-2,29.0,
243.0,QC0000035843,"놓지 마 과학!. 6, 정신이 실험에 정신 놓다","신태훈, 나승훈 [공]글·그림",위즈덤하우스,아만400-신883ㄴ2-6,29.0,
244.0,QC0000035838,"놓지 마 과학!. 1, 정신이 달에 정신 놓다","신태훈, 나승훈 [공]글·그림",위즈덤하우스,아만400-신883ㄴ2-1,29.0,
245.0,QC0000035103,(흔한남매) 별난 방탈출. 3,흔한남매 원작 ; 김언정 글 ; 차차 그림,아이세움,아만 691-흔92ㅂ-3,29.0,
246.0,QC0000034968,"(무엇이든 해결단) 허팝 연구소. 7, 남극 SOS 대소동",라곰씨 글 ; 차차 그림,라이카미,아404-라15ㅎ-7,29.0,
247.0,QC0000034966,(흔한남매의) 흔한 호기심 : 일상에서 만나는 과학 상식. 3,흔한남매 원작 ; 안치현 글 ; 유난희 그림,아이세움,아만408-흔92ㅎ-3,29.0,
248.0,QC0000034063,흔한남매. 7,흔한남매 원작 ; 백난도 글 ; 유난희 그림,아이세움,아만 657.1-흔92ㅎ-7,29.0,
249.0,QC0000033261,고층 건물에서 살아남기. 2,팝콘스토리 글 ; 한현동 그림,아이세움,아만408-서42ㅇ-68,29.0,
250.0,QC0000033090,에너지 위기에서 살아남기. 2,김정욱 글 ; 한현동 그림,아이세움,아만408-서42ㅇ-40-2,29.0,
